metric,tool,top_n,recall,min_duplicates,max_duplicates,median_duplicates,mean_duplicates
pearson,copyvae,1,0.003947368421052632,1,1,1.0,1.0
pearson,copyvae,5,0.009210526315789473,1,1,1.0,1.0
pearson,copyvae,10,0.015789473684210527,1,1,1.0,1.0
pearson,copyvae,25,0.02763157894736842,1,1,1.0,1.0
pearson,copyvae,50,0.06447368421052632,1,1,1.0,1.0
pearson,copyvae,100,0.12368421052631579,1,1,1.0,1.0
spearman,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
spearman,copyvae,5,0.002631578947368421,1,1,1.0,1.0
spearman,copyvae,10,0.006578947368421052,1,1,1.0,1.0
spearman,copyvae,25,0.035526315789473684,1,1,1.0,1.0
spearman,copyvae,50,0.06710526315789474,1,1,1.0,1.0
spearman,copyvae,100,0.1368421052631579,1,1,1.0,1.0
kendall,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,5,0.002631578947368421,1,1,1.0,1.0
kendall,copyvae,10,0.007894736842105263,1,1,1.0,1.0
kendall,copyvae,25,0.030263157894736843,1,1,1.0,1.0
kendall,copyvae,50,0.06578947368421052,1,1,1.0,1.0
kendall,copyvae,100,0.13289473684210526,1,1,1.0,1.0
random,other,1,0.0,1,1,1.0,1.0
random,other,5,0.003947368421052632,1,1,1.0,1.0
random,other,10,0.013157894736842105,1,1,1.0,1.0
random,other,25,0.02763157894736842,1,1,1.0,1.0
random,other,50,0.06710526315789474,1,1,1.0,1.0
random,other,100,0.12105263157894737,1,1,1.0,1.0
cosine,rna,1,0.005263157894736842,1,1,1.0,1.0
cosine,rna,5,0.007894736842105263,1,1,1.0,1.0
cosine,rna,10,0.015789473684210527,1,1,1.0,1.0
cosine,rna,25,0.034210526315789476,1,1,1.0,1.0
cosine,rna,50,0.06447368421052632,1,1,1.0,1.0
cosine,rna,100,0.125,1,1,1.0,1.0
pearson,rna,1,0.011842105263157895,1,1,1.0,1.0
pearson,rna,5,0.019736842105263157,1,1,1.0,1.0
pearson,rna,10,0.025,1,1,1.0,1.0
pearson,rna,25,0.04342105263157895,1,1,1.0,1.0
pearson,rna,50,0.08026315789473684,1,1,1.0,1.0
pearson,rna,100,0.1618421052631579,1,1,1.0,1.0
spearman,rna,1,0.005263157894736842,1,1,1.0,1.0
spearman,rna,5,0.013157894736842105,1,1,1.0,1.0
spearman,rna,10,0.017105263157894738,1,1,1.0,1.0
spearman,rna,25,0.031578947368421054,1,1,1.0,1.0
spearman,rna,50,0.06710526315789474,1,1,1.0,1.0
spearman,rna,100,0.11315789473684211,1,1,1.0,1.0
kendall,rna,1,0.003947368421052632,1,1,1.0,1.0
kendall,rna,5,0.014473684210526316,1,1,1.0,1.0
kendall,rna,10,0.015789473684210527,1,1,1.0,1.0
kendall,rna,25,0.038157894736842106,1,1,1.0,1.0
kendall,rna,50,0.06710526315789474,1,1,1.0,1.0
kendall,rna,100,0.11578947368421053,1,1,1.0,1.0
cosine,copykat,1,0.011842105263157895,1,1,1.0,1.0
cosine,copykat,5,0.03289473684210526,1,1,1.0,1.0
cosine,copykat,10,0.04736842105263158,1,1,1.0,1.0
cosine,copykat,25,0.07368421052631578,1,1,1.0,1.0
cosine,copykat,50,0.10394736842105264,1,1,1.0,1.0
cosine,copykat,100,0.14342105263157895,1,1,1.0,1.0
pearson,copykat,1,0.015789473684210527,1,1,1.0,1.0
pearson,copykat,5,0.034210526315789476,1,1,1.0,1.0
pearson,copykat,10,0.046052631578947366,1,1,1.0,1.0
pearson,copykat,25,0.07105263157894737,1,1,1.0,1.0
pearson,copykat,50,0.11973684210526316,1,1,1.0,1.0
pearson,copykat,100,0.18552631578947368,1,1,1.0,1.0
spearman,copykat,1,0.011842105263157895,1,1,1.0,1.0
spearman,copykat,5,0.02763157894736842,1,1,1.0,1.0
spearman,copykat,10,0.042105263157894736,1,1,1.0,1.0
spearman,copykat,25,0.06184210526315789,1,1,1.0,1.0
spearman,copykat,50,0.09605263157894736,1,1,1.0,1.0
spearman,copykat,100,0.15657894736842104,1,1,1.0,1.0
kendall,copykat,1,0.013157894736842105,1,1,1.0,1.0
kendall,copykat,5,0.031578947368421054,1,1,1.0,1.0
kendall,copykat,10,0.039473684210526314,1,1,1.0,1.0
kendall,copykat,25,0.05921052631578947,1,1,1.0,1.0
kendall,copykat,50,0.09605263157894736,1,1,1.0,1.0
kendall,copykat,100,0.15657894736842104,1,1,1.0,1.0
cosine,copyvae,1,0.0,1,1,1.0,1.0
cosine,copyvae,5,0.006578947368421052,1,1,1.0,1.0
cosine,copyvae,10,0.010526315789473684,1,1,1.0,1.0
cosine,copyvae,25,0.030263157894736843,1,1,1.0,1.0
cosine,copyvae,50,0.05789473684210526,1,1,1.0,1.0
cosine,copyvae,100,0.12631578947368421,1,1,1.0,1.0
pearson,copyvae,1,0.003947368421052632,1,1,1.0,1.0
pearson,copyvae,5,0.009210526315789473,1,1,1.0,1.0
pearson,copyvae,10,0.014473684210526316,1,1,1.0,1.0
pearson,copyvae,25,0.030263157894736843,1,1,1.0,1.0
pearson,copyvae,50,0.06184210526315789,1,1,1.0,1.0
pearson,copyvae,100,0.125,1,1,1.0,1.0
spearman,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
spearman,copyvae,5,0.0013157894736842105,1,1,1.0,1.0
spearman,copyvae,10,0.009210526315789473,1,1,1.0,1.0
spearman,copyvae,25,0.03289473684210526,1,1,1.0,1.0
spearman,copyvae,50,0.07105263157894737,1,1,1.0,1.0
spearman,copyvae,100,0.13815789473684212,1,1,1.0,1.0
kendall,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,5,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,10,0.009210526315789473,1,1,1.0,1.0
kendall,copyvae,25,0.030263157894736843,1,1,1.0,1.0
kendall,copyvae,50,0.06578947368421052,1,1,1.0,1.0
kendall,copyvae,100,0.1368421052631579,1,1,1.0,1.0
random,other,1,0.0,1,1,1.0,1.0
random,other,5,0.005263157894736842,1,1,1.0,1.0
random,other,10,0.006578947368421052,1,1,1.0,1.0
random,other,25,0.03684210526315789,1,1,1.0,1.0
random,other,50,0.08157894736842106,1,1,1.0,1.0
random,other,100,0.1394736842105263,1,1,1.0,1.0
cosine,rna,1,0.006578947368421052,1,1,1.0,1.0
cosine,rna,5,0.006578947368421052,1,1,1.0,1.0
cosine,rna,10,0.013157894736842105,1,1,1.0,1.0
cosine,rna,25,0.025,1,1,1.0,1.0
cosine,rna,50,0.06710526315789474,1,1,1.0,1.0
cosine,rna,100,0.12368421052631579,1,1,1.0,1.0
pearson,rna,1,0.003947368421052632,1,1,1.0,1.0
pearson,rna,5,0.013157894736842105,1,1,1.0,1.0
pearson,rna,10,0.025,1,1,1.0,1.0
pearson,rna,25,0.05,1,1,1.0,1.0
pearson,rna,50,0.075,1,1,1.0,1.0
pearson,rna,100,0.12236842105263158,1,1,1.0,1.0
spearman,rna,1,0.002631578947368421,1,1,1.0,1.0
spearman,rna,5,0.011842105263157895,1,1,1.0,1.0
spearman,rna,10,0.021052631578947368,1,1,1.0,1.0
spearman,rna,25,0.039473684210526314,1,1,1.0,1.0
spearman,rna,50,0.05921052631578947,1,1,1.0,1.0
spearman,rna,100,0.1,1,1,1.0,1.0
kendall,rna,1,0.0013157894736842105,1,1,1.0,1.0
kendall,rna,5,0.011842105263157895,1,1,1.0,1.0
kendall,rna,10,0.019736842105263157,1,1,1.0,1.0
kendall,rna,25,0.039473684210526314,1,1,1.0,1.0
kendall,rna,50,0.060526315789473685,1,1,1.0,1.0
kendall,rna,100,0.10263157894736842,1,1,1.0,1.0
cosine,copykat,1,0.013157894736842105,1,1,1.0,1.0
cosine,copykat,5,0.03684210526315789,1,1,1.0,1.0
cosine,copykat,10,0.04342105263157895,1,1,1.0,1.0
cosine,copykat,25,0.07105263157894737,1,1,1.0,1.0
cosine,copykat,50,0.1013157894736842,1,1,1.0,1.0
cosine,copykat,100,0.14342105263157895,1,1,1.0,1.0
pearson,copykat,1,0.017105263157894738,1,1,1.0,1.0
pearson,copykat,5,0.034210526315789476,1,1,1.0,1.0
pearson,copykat,10,0.04868421052631579,1,1,1.0,1.0
pearson,copykat,25,0.07368421052631578,1,1,1.0,1.0
pearson,copykat,50,0.11052631578947368,1,1,1.0,1.0
pearson,copykat,100,0.1736842105263158,1,1,1.0,1.0
spearman,copykat,1,0.013157894736842105,1,1,1.0,1.0
spearman,copykat,5,0.02894736842105263,1,1,1.0,1.0
spearman,copykat,10,0.038157894736842106,1,1,1.0,1.0
spearman,copykat,25,0.06578947368421052,1,1,1.0,1.0
spearman,copykat,50,0.09736842105263158,1,1,1.0,1.0
spearman,copykat,100,0.15657894736842104,1,1,1.0,1.0
kendall,copykat,1,0.014473684210526316,1,1,1.0,1.0
kendall,copykat,5,0.02894736842105263,1,1,1.0,1.0
kendall,copykat,10,0.04078947368421053,1,1,1.0,1.0
kendall,copykat,25,0.060526315789473685,1,1,1.0,1.0
kendall,copykat,50,0.09868421052631579,1,1,1.0,1.0
kendall,copykat,100,0.14868421052631578,1,1,1.0,1.0
cosine,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
cosine,copyvae,5,0.005263157894736842,1,1,1.0,1.0
cosine,copyvae,10,0.010526315789473684,1,1,1.0,1.0
cosine,copyvae,25,0.02894736842105263,1,1,1.0,1.0
cosine,copyvae,50,0.05921052631578947,1,1,1.0,1.0
cosine,copyvae,100,0.12763157894736843,1,1,1.0,1.0
pearson,copyvae,1,0.005263157894736842,1,1,1.0,1.0
pearson,copyvae,5,0.010526315789473684,1,1,1.0,1.0
pearson,copyvae,10,0.015789473684210527,1,1,1.0,1.0
pearson,copyvae,25,0.031578947368421054,1,1,1.0,1.0
pearson,copyvae,50,0.06842105263157895,1,1,1.0,1.0
pearson,copyvae,100,0.13421052631578947,1,1,1.0,1.0
spearman,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
spearman,copyvae,5,0.003947368421052632,1,1,1.0,1.0
spearman,copyvae,10,0.009210526315789473,1,1,1.0,1.0
spearman,copyvae,25,0.03289473684210526,1,1,1.0,1.0
spearman,copyvae,50,0.07236842105263158,1,1,1.0,1.0
spearman,copyvae,100,0.1394736842105263,1,1,1.0,1.0
kendall,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,5,0.003947368421052632,1,1,1.0,1.0
kendall,copyvae,10,0.005263157894736842,1,1,1.0,1.0
kendall,copyvae,25,0.03289473684210526,1,1,1.0,1.0
kendall,copyvae,50,0.06973684210526315,1,1,1.0,1.0
kendall,copyvae,100,0.1368421052631579,1,1,1.0,1.0
random,other,1,0.0013157894736842105,1,1,1.0,1.0
random,other,5,0.006578947368421052,1,1,1.0,1.0
random,other,10,0.011842105263157895,1,1,1.0,1.0
random,other,25,0.030263157894736843,1,1,1.0,1.0
random,other,50,0.06315789473684211,1,1,1.0,1.0
random,other,100,0.13026315789473683,1,1,1.0,1.0
cosine,rna,1,0.005263157894736842,1,1,1.0,1.0
cosine,rna,5,0.009210526315789473,1,1,1.0,1.0
cosine,rna,10,0.013157894736842105,1,1,1.0,1.0
cosine,rna,25,0.031578947368421054,1,1,1.0,1.0
cosine,rna,50,0.05921052631578947,1,1,1.0,1.0
cosine,rna,100,0.12894736842105264,1,1,1.0,1.0
pearson,rna,1,0.005263157894736842,1,1,1.0,1.0
pearson,rna,5,0.017105263157894738,1,1,1.0,1.0
pearson,rna,10,0.02763157894736842,1,1,1.0,1.0
pearson,rna,25,0.05,1,1,1.0,1.0
pearson,rna,50,0.08157894736842106,1,1,1.0,1.0
pearson,rna,100,0.14342105263157895,1,1,1.0,1.0
spearman,rna,1,0.006578947368421052,1,1,1.0,1.0
spearman,rna,5,0.013157894736842105,1,1,1.0,1.0
spearman,rna,10,0.017105263157894738,1,1,1.0,1.0
spearman,rna,25,0.035526315789473684,1,1,1.0,1.0
spearman,rna,50,0.06184210526315789,1,1,1.0,1.0
spearman,rna,100,0.11315789473684211,1,1,1.0,1.0
kendall,rna,1,0.005263157894736842,1,1,1.0,1.0
kendall,rna,5,0.014473684210526316,1,1,1.0,1.0
kendall,rna,10,0.021052631578947368,1,1,1.0,1.0
kendall,rna,25,0.04078947368421053,1,1,1.0,1.0
kendall,rna,50,0.06184210526315789,1,1,1.0,1.0
kendall,rna,100,0.1118421052631579,1,1,1.0,1.0
cosine,copykat,1,0.010526315789473684,1,1,1.0,1.0
cosine,copykat,5,0.034210526315789476,1,1,1.0,1.0
cosine,copykat,10,0.04736842105263158,1,1,1.0,1.0
cosine,copykat,25,0.07236842105263158,1,1,1.0,1.0
cosine,copykat,50,0.10394736842105264,1,1,1.0,1.0
cosine,copykat,100,0.1394736842105263,1,1,1.0,1.0
pearson,copykat,1,0.017105263157894738,1,1,1.0,1.0
pearson,copykat,5,0.03289473684210526,1,1,1.0,1.0
pearson,copykat,10,0.04868421052631579,1,1,1.0,1.0
pearson,copykat,25,0.075,1,1,1.0,1.0
pearson,copykat,50,0.11710526315789474,1,1,1.0,1.0
pearson,copykat,100,0.18552631578947368,1,1,1.0,1.0
spearman,copykat,1,0.013157894736842105,1,1,1.0,1.0
spearman,copykat,5,0.02894736842105263,1,1,1.0,1.0
spearman,copykat,10,0.04078947368421053,1,1,1.0,1.0
spearman,copykat,25,0.06315789473684211,1,1,1.0,1.0
spearman,copykat,50,0.10263157894736842,1,1,1.0,1.0
spearman,copykat,100,0.15657894736842104,1,1,1.0,1.0
kendall,copykat,1,0.015789473684210527,1,1,1.0,1.0
kendall,copykat,5,0.030263157894736843,1,1,1.0,1.0
kendall,copykat,10,0.042105263157894736,1,1,1.0,1.0
kendall,copykat,25,0.06315789473684211,1,1,1.0,1.0
kendall,copykat,50,0.09868421052631579,1,1,1.0,1.0
kendall,copykat,100,0.16052631578947368,1,1,1.0,1.0
cosine,copyvae,1,0.0,1,1,1.0,1.0
cosine,copyvae,5,0.006578947368421052,1,1,1.0,1.0
cosine,copyvae,10,0.009210526315789473,1,1,1.0,1.0
cosine,copyvae,25,0.02763157894736842,1,1,1.0,1.0
cosine,copyvae,50,0.056578947368421055,1,1,1.0,1.0
cosine,copyvae,100,0.13026315789473683,1,1,1.0,1.0
pearson,copyvae,1,0.003947368421052632,1,1,1.0,1.0
pearson,copyvae,5,0.009210526315789473,1,1,1.0,1.0
pearson,copyvae,10,0.014473684210526316,1,1,1.0,1.0
pearson,copyvae,25,0.02894736842105263,1,1,1.0,1.0
pearson,copyvae,50,0.06842105263157895,1,1,1.0,1.0
pearson,copyvae,100,0.12368421052631579,1,1,1.0,1.0
spearman,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
spearman,copyvae,5,0.002631578947368421,1,1,1.0,1.0
spearman,copyvae,10,0.006578947368421052,1,1,1.0,1.0
spearman,copyvae,25,0.030263157894736843,1,1,1.0,1.0
spearman,copyvae,50,0.06710526315789474,1,1,1.0,1.0
spearman,copyvae,100,0.14342105263157895,1,1,1.0,1.0
kendall,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,5,0.002631578947368421,1,1,1.0,1.0
kendall,copyvae,10,0.006578947368421052,1,1,1.0,1.0
kendall,copyvae,25,0.031578947368421054,1,1,1.0,1.0
kendall,copyvae,50,0.06710526315789474,1,1,1.0,1.0
kendall,copyvae,100,0.13815789473684212,1,1,1.0,1.0
random,other,1,0.003947368421052632,1,1,1.0,1.0
random,other,5,0.011842105263157895,1,1,1.0,1.0
random,other,10,0.013157894736842105,1,1,1.0,1.0
random,other,25,0.038157894736842106,1,1,1.0,1.0
random,other,50,0.06184210526315789,1,1,1.0,1.0
random,other,100,0.12236842105263158,1,1,1.0,1.0
cosine,rna,1,0.005263157894736842,1,1,1.0,1.0
cosine,rna,5,0.009210526315789473,1,1,1.0,1.0
cosine,rna,10,0.017105263157894738,1,1,1.0,1.0
cosine,rna,25,0.034210526315789476,1,1,1.0,1.0
cosine,rna,50,0.060526315789473685,1,1,1.0,1.0
cosine,rna,100,0.11052631578947368,1,1,1.0,1.0
pearson,rna,1,0.005263157894736842,1,1,1.0,1.0
pearson,rna,5,0.017105263157894738,1,1,1.0,1.0
pearson,rna,10,0.02368421052631579,1,1,1.0,1.0
pearson,rna,25,0.03684210526315789,1,1,1.0,1.0
pearson,rna,50,0.06447368421052632,1,1,1.0,1.0
pearson,rna,100,0.11710526315789474,1,1,1.0,1.0
spearman,rna,1,0.002631578947368421,1,1,1.0,1.0
spearman,rna,5,0.013157894736842105,1,1,1.0,1.0
spearman,rna,10,0.02236842105263158,1,1,1.0,1.0
spearman,rna,25,0.038157894736842106,1,1,1.0,1.0
spearman,rna,50,0.060526315789473685,1,1,1.0,1.0
spearman,rna,100,0.10526315789473684,1,1,1.0,1.0
kendall,rna,1,0.003947368421052632,1,1,1.0,1.0
kendall,rna,5,0.014473684210526316,1,1,1.0,1.0
kendall,rna,10,0.019736842105263157,1,1,1.0,1.0
kendall,rna,25,0.042105263157894736,1,1,1.0,1.0
kendall,rna,50,0.06184210526315789,1,1,1.0,1.0
kendall,rna,100,0.11052631578947368,1,1,1.0,1.0
cosine,copykat,1,0.013157894736842105,1,1,1.0,1.0
cosine,copykat,5,0.035526315789473684,1,1,1.0,1.0
cosine,copykat,10,0.04342105263157895,1,1,1.0,1.0
cosine,copykat,25,0.07368421052631578,1,1,1.0,1.0
cosine,copykat,50,0.10526315789473684,1,1,1.0,1.0
cosine,copykat,100,0.1394736842105263,1,1,1.0,1.0
pearson,copykat,1,0.014473684210526316,1,1,1.0,1.0
pearson,copykat,5,0.035526315789473684,1,1,1.0,1.0
pearson,copykat,10,0.04736842105263158,1,1,1.0,1.0
pearson,copykat,25,0.07763157894736843,1,1,1.0,1.0
pearson,copykat,50,0.11578947368421053,1,1,1.0,1.0
pearson,copykat,100,0.1868421052631579,1,1,1.0,1.0
spearman,copykat,1,0.013157894736842105,1,1,1.0,1.0
spearman,copykat,5,0.02631578947368421,1,1,1.0,1.0
spearman,copykat,10,0.04078947368421053,1,1,1.0,1.0
spearman,copykat,25,0.06578947368421052,1,1,1.0,1.0
spearman,copykat,50,0.09210526315789473,1,1,1.0,1.0
spearman,copykat,100,0.15789473684210525,1,1,1.0,1.0
kendall,copykat,1,0.014473684210526316,1,1,1.0,1.0
kendall,copykat,5,0.02894736842105263,1,1,1.0,1.0
kendall,copykat,10,0.039473684210526314,1,1,1.0,1.0
kendall,copykat,25,0.06447368421052632,1,1,1.0,1.0
kendall,copykat,50,0.09736842105263158,1,1,1.0,1.0
kendall,copykat,100,0.15921052631578947,1,1,1.0,1.0
cosine,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
cosine,copyvae,5,0.005263157894736842,1,1,1.0,1.0
cosine,copyvae,10,0.010526315789473684,1,1,1.0,1.0
cosine,copyvae,25,0.030263157894736843,1,1,1.0,1.0
cosine,copyvae,50,0.060526315789473685,1,1,1.0,1.0
cosine,copyvae,100,0.12236842105263158,1,1,1.0,1.0
pearson,copyvae,1,0.002631578947368421,1,1,1.0,1.0
pearson,copyvae,5,0.010526315789473684,1,1,1.0,1.0
pearson,copyvae,10,0.018421052631578946,1,1,1.0,1.0
pearson,copyvae,25,0.03289473684210526,1,1,1.0,1.0
pearson,copyvae,50,0.06710526315789474,1,1,1.0,1.0
pearson,copyvae,100,0.12631578947368421,1,1,1.0,1.0
spearman,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
spearman,copyvae,5,0.002631578947368421,1,1,1.0,1.0
spearman,copyvae,10,0.010526315789473684,1,1,1.0,1.0
spearman,copyvae,25,0.031578947368421054,1,1,1.0,1.0
spearman,copyvae,50,0.07105263157894737,1,1,1.0,1.0
spearman,copyvae,100,0.1368421052631579,1,1,1.0,1.0
kendall,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,5,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,10,0.007894736842105263,1,1,1.0,1.0
kendall,copyvae,25,0.03289473684210526,1,1,1.0,1.0
kendall,copyvae,50,0.06184210526315789,1,1,1.0,1.0
kendall,copyvae,100,0.13421052631578947,1,1,1.0,1.0
random,other,1,0.003947368421052632,1,1,1.0,1.0
random,other,5,0.018421052631578946,1,1,1.0,1.0
random,other,10,0.02368421052631579,1,1,1.0,1.0
random,other,25,0.05789473684210526,1,1,1.0,1.0
random,other,50,0.0868421052631579,1,1,1.0,1.0
random,other,100,0.13815789473684212,1,1,1.0,1.0
cosine,rna,1,0.005263157894736842,1,1,1.0,1.0
cosine,rna,5,0.010526315789473684,1,1,1.0,1.0
cosine,rna,10,0.019736842105263157,1,1,1.0,1.0
cosine,rna,25,0.03684210526315789,1,1,1.0,1.0
cosine,rna,50,0.06710526315789474,1,1,1.0,1.0
cosine,rna,100,0.11315789473684211,1,1,1.0,1.0
pearson,rna,1,0.006578947368421052,1,1,1.0,1.0
pearson,rna,5,0.017105263157894738,1,1,1.0,1.0
pearson,rna,10,0.025,1,1,1.0,1.0
pearson,rna,25,0.038157894736842106,1,1,1.0,1.0
pearson,rna,50,0.06447368421052632,1,1,1.0,1.0
pearson,rna,100,0.12894736842105264,1,1,1.0,1.0
spearman,rna,1,0.003947368421052632,1,1,1.0,1.0
spearman,rna,5,0.011842105263157895,1,1,1.0,1.0
spearman,rna,10,0.019736842105263157,1,1,1.0,1.0
spearman,rna,25,0.03289473684210526,1,1,1.0,1.0
spearman,rna,50,0.05,1,1,1.0,1.0
spearman,rna,100,0.1,1,1,1.0,1.0
kendall,rna,1,0.002631578947368421,1,1,1.0,1.0
kendall,rna,5,0.014473684210526316,1,1,1.0,1.0
kendall,rna,10,0.02368421052631579,1,1,1.0,1.0
kendall,rna,25,0.03289473684210526,1,1,1.0,1.0
kendall,rna,50,0.05131578947368421,1,1,1.0,1.0
kendall,rna,100,0.10657894736842105,1,1,1.0,1.0
cosine,copykat,1,0.013157894736842105,1,1,1.0,1.0
cosine,copykat,5,0.030263157894736843,1,1,1.0,1.0
cosine,copykat,10,0.046052631578947366,1,1,1.0,1.0
cosine,copykat,25,0.075,1,1,1.0,1.0
cosine,copykat,50,0.10657894736842105,1,1,1.0,1.0
cosine,copykat,100,0.14868421052631578,1,1,1.0,1.0
pearson,copykat,1,0.014473684210526316,1,1,1.0,1.0
pearson,copykat,5,0.035526315789473684,1,1,1.0,1.0
pearson,copykat,10,0.05,1,1,1.0,1.0
pearson,copykat,25,0.075,1,1,1.0,1.0
pearson,copykat,50,0.10394736842105264,1,1,1.0,1.0
pearson,copykat,100,0.18026315789473685,1,1,1.0,1.0
spearman,copykat,1,0.013157894736842105,1,1,1.0,1.0
spearman,copykat,5,0.025,1,1,1.0,1.0
spearman,copykat,10,0.042105263157894736,1,1,1.0,1.0
spearman,copykat,25,0.060526315789473685,1,1,1.0,1.0
spearman,copykat,50,0.09342105263157895,1,1,1.0,1.0
spearman,copykat,100,0.16052631578947368,1,1,1.0,1.0
kendall,copykat,1,0.014473684210526316,1,1,1.0,1.0
kendall,copykat,5,0.030263157894736843,1,1,1.0,1.0
kendall,copykat,10,0.042105263157894736,1,1,1.0,1.0
kendall,copykat,25,0.06315789473684211,1,1,1.0,1.0
kendall,copykat,50,0.09342105263157895,1,1,1.0,1.0
kendall,copykat,100,0.15657894736842104,1,1,1.0,1.0
cosine,copyvae,1,0.0,1,1,1.0,1.0
cosine,copyvae,5,0.006578947368421052,1,1,1.0,1.0
cosine,copyvae,10,0.010526315789473684,1,1,1.0,1.0
cosine,copyvae,25,0.02763157894736842,1,1,1.0,1.0
cosine,copyvae,50,0.060526315789473685,1,1,1.0,1.0
cosine,copyvae,100,0.12368421052631579,1,1,1.0,1.0
pearson,copyvae,1,0.002631578947368421,1,1,1.0,1.0
pearson,copyvae,5,0.009210526315789473,1,1,1.0,1.0
pearson,copyvae,10,0.015789473684210527,1,1,1.0,1.0
pearson,copyvae,25,0.030263157894736843,1,1,1.0,1.0
pearson,copyvae,50,0.06578947368421052,1,1,1.0,1.0
pearson,copyvae,100,0.13157894736842105,1,1,1.0,1.0
spearman,copyvae,1,0.0,1,1,1.0,1.0
spearman,copyvae,5,0.0013157894736842105,1,1,1.0,1.0
spearman,copyvae,10,0.006578947368421052,1,1,1.0,1.0
spearman,copyvae,25,0.03289473684210526,1,1,1.0,1.0
spearman,copyvae,50,0.06710526315789474,1,1,1.0,1.0
spearman,copyvae,100,0.12631578947368421,1,1,1.0,1.0
kendall,copyvae,1,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,5,0.0013157894736842105,1,1,1.0,1.0
kendall,copyvae,10,0.006578947368421052,1,1,1.0,1.0
kendall,copyvae,25,0.031578947368421054,1,1,1.0,1.0
kendall,copyvae,50,0.06578947368421052,1,1,1.0,1.0
kendall,copyvae,100,0.13421052631578947,1,1,1.0,1.0
random,other,1,0.0013157894736842105,1,1,1.0,1.0
random,other,5,0.009210526315789473,1,1,1.0,1.0
random,other,10,0.015789473684210527,1,1,1.0,1.0
random,other,25,0.038157894736842106,1,1,1.0,1.0
random,other,50,0.06315789473684211,1,1,1.0,1.0
random,other,100,0.12368421052631579,1,1,1.0,1.0
cosine,rna,1,0.005263157894736842,1,1,1.0,1.0
cosine,rna,5,0.010526315789473684,1,1,1.0,1.0
cosine,rna,10,0.014473684210526316,1,1,1.0,1.0
cosine,rna,25,0.034210526315789476,1,1,1.0,1.0
cosine,rna,50,0.056578947368421055,1,1,1.0,1.0
cosine,rna,100,0.11842105263157894,1,1,1.0,1.0
pearson,rna,1,0.009210526315789473,1,1,1.0,1.0
pearson,rna,5,0.018421052631578946,1,1,1.0,1.0
pearson,rna,10,0.025,1,1,1.0,1.0
pearson,rna,25,0.05,1,1,1.0,1.0
pearson,rna,50,0.06973684210526315,1,1,1.0,1.0
pearson,rna,100,0.12763157894736843,1,1,1.0,1.0
spearman,rna,1,0.005263157894736842,1,1,1.0,1.0
spearman,rna,5,0.013157894736842105,1,1,1.0,1.0
spearman,rna,10,0.021052631578947368,1,1,1.0,1.0
spearman,rna,25,0.039473684210526314,1,1,1.0,1.0
spearman,rna,50,0.060526315789473685,1,1,1.0,1.0
spearman,rna,100,0.10789473684210527,1,1,1.0,1.0
kendall,rna,1,0.003947368421052632,1,1,1.0,1.0
kendall,rna,5,0.014473684210526316,1,1,1.0,1.0
kendall,rna,10,0.02236842105263158,1,1,1.0,1.0
kendall,rna,25,0.03684210526315789,1,1,1.0,1.0
kendall,rna,50,0.060526315789473685,1,1,1.0,1.0
kendall,rna,100,0.10921052631578948,1,1,1.0,1.0
cosine,copykat,1,0.014473684210526316,1,1,1.0,1.0
cosine,copykat,5,0.03684210526315789,1,1,1.0,1.0
cosine,copykat,10,0.04736842105263158,1,1,1.0,1.0
cosine,copykat,25,0.07368421052631578,1,1,1.0,1.0
cosine,copykat,50,0.10657894736842105,1,1,1.0,1.0
cosine,copykat,100,0.14736842105263157,1,1,1.0,1.0
pearson,copykat,1,0.015789473684210527,1,1,1.0,1.0
pearson,copykat,5,0.035526315789473684,1,1,1.0,1.0
pearson,copykat,10,0.05,1,1,1.0,1.0
pearson,copykat,25,0.07368421052631578,1,1,1.0,1.0
pearson,copykat,50,0.11973684210526316,1,1,1.0,1.0
pearson,copykat,100,0.1868421052631579,1,1,1.0,1.0
spearman,copykat,1,0.011842105263157895,1,1,1.0,1.0
spearman,copykat,5,0.02894736842105263,1,1,1.0,1.0
spearman,copykat,10,0.039473684210526314,1,1,1.0,1.0
spearman,copykat,25,0.06315789473684211,1,1,1.0,1.0
spearman,copykat,50,0.1013157894736842,1,1,1.0,1.0
spearman,copykat,100,0.15657894736842104,1,1,1.0,1.0
kendall,copykat,1,0.013157894736842105,1,1,1.0,1.0
kendall,copykat,5,0.02631578947368421,1,1,1.0,1.0
